Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 16:49:15,,
Header Version:,1,,
System Temp (C):,43.59,,
Detector Temp (C):,41.71,,
Humidity (%):,46.5,,
Lamp PD:,119,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.477097,18269.000000,609.000000
904.739192,1.471292,19684.000000,665.000000
909.949268,1.485926,21675.000000,708.000000
913.851816,1.480873,23482.000000,776.000000
917.750071,1.503349,25749.000000,808.000000
921.644031,1.523612,28448.000000,852.000000
925.533698,1.555878,31685.000000,881.000000
929.419072,1.583031,35299.000000,922.000000
933.300152,1.609231,38958.000000,958.000000
937.176938,1.642951,42411.000000,965.000000
941.049430,1.672165,45503.000000,968.000000
944.917629,1.709152,48422.000000,946.000000
950.068549,1.750377,52118.000000,926.000000
953.926729,1.764245,54797.000000,943.000000
957.780616,1.807009,57646.000000,899.000000
961.630209,1.811536,60453.000000,933.000000
965.475508,1.826473,63306.000000,944.000000
969.316514,1.817886,66143.000000,1006.000000
973.153226,1.802449,68846.000000,1085.000000
976.985644,1.793543,71365.000000,1148.000000
980.813769,1.761021,73772.000000,1279.000000
984.637600,1.754709,75891.000000,1335.000000
989.729363,1.733928,78252.000000,1444.000000
993.543176,1.712229,79748.000000,1547.000000
997.352695,1.701949,80903.000000,1607.000000
1001.157920,1.687987,81951.000000,1681.000000
1004.958852,1.683876,82676.000000,1712.000000
1008.755490,1.680991,83280.000000,1736.000000
1012.547834,1.681511,83764.000000,1744.000000
1016.335885,1.687964,84043.000000,1724.000000
1020.119642,1.693194,84173.000000,1706.000000
1023.899105,1.711885,84269.000000,1636.000000
1028.931711,1.714177,84249.000000,1627.000000
1032.701156,1.732213,84151.000000,1559.000000
1036.466307,1.755073,83920.000000,1475.000000
1040.227165,1.766192,83703.000000,1434.000000
1043.983729,1.785044,83454.000000,1369.000000
1047.735999,1.796925,83200.000000,1328.000000
1051.483976,1.808068,82984.000000,1291.000000
1055.227659,1.822989,82891.000000,1246.000000
1058.967048,1.828660,82902.000000,1230.000000
1062.702144,1.828378,82983.000000,1232.000000
1066.432946,1.837815,83085.000000,1207.000000
1071.400670,1.822548,83272.000000,1253.000000
1075.121453,1.816413,83611.000000,1276.000000
1078.837943,1.814235,83910.000000,1287.000000
1082.550140,1.815336,84123.000000,1287.000000
1086.258042,1.797801,84498.000000,1346.000000
1089.961651,1.799781,84758.000000,1344.000000
1093.660967,1.792739,85070.000000,1371.000000
1097.355988,1.792407,85377.000000,1377.000000
1101.046716,1.791161,85627.000000,1385.000000
1104.733151,1.800524,85977.000000,1361.000000
1109.641718,1.807421,86198.000000,1343.000000
1113.318133,1.816095,86300.000000,1318.000000
1116.990256,1.832268,86380.000000,1271.000000
1120.658084,1.846800,86438.000000,1230.000000
1124.321619,1.874419,86497.000000,1155.000000
1127.980861,1.903170,86496.000000,1081.000000
1131.635808,1.943414,86467.000000,985.000000
1135.286462,1.992942,86483.000000,879.000000
1138.932822,2.061356,86496.000000,751.000000
1142.574889,2.109195,86410.000000,672.000000
1147.424299,2.212238,86563.000000,531.000000
1151.056347,2.252057,86656.000000,485.000000
1154.684102,2.311644,86693.000000,423.000000
1158.307563,2.342903,86776.000000,394.000000
1161.926730,2.344787,86932.000000,393.000000
1165.541603,2.399459,87054.000000,347.000000
1169.152183,2.406819,87266.000000,342.000000
1172.758470,2.421188,87564.000000,332.000000
1176.360462,2.403027,88025.000000,348.000000
1179.958161,2.434638,88414.000000,325.000000
1184.748414,2.453090,89413.000000,315.000000
1188.336095,2.417667,90258.000000,345.000000
1191.919482,2.471449,91201.000000,308.000000
1195.498575,2.420894,92249.000000,350.000000
1199.073374,2.452411,93241.000000,329.000000
1202.643880,2.427298,94422.000000,353.000000
1206.210092,2.430652,95693.000000,355.000000
1209.772011,2.383390,96947.000000,401.000000
1213.329636,2.397874,98235.000000,393.000000
1216.882967,2.331929,99643.000000,464.000000
1221.614063,2.343956,101558.000000,460.000000
1225.157376,2.316143,102920.000000,497.000000
1228.696395,2.296312,104459.000000,528.000000
1232.231121,2.272494,106001.000000,566.000000
1235.761552,2.275945,107602.000000,570.000000
1239.287691,2.246222,109122.000000,619.000000
1242.809535,2.248594,110606.000000,624.000000
1246.327086,2.244473,112195.000000,639.000000
1249.840343,2.237368,113829.000000,659.000000
1253.349307,2.234435,115465.000000,673.000000
1258.021246,2.235200,117559.000000,684.000000
