Method:,Hadamard 1,,
Host Date-Time:,2/10/23 @ 10:35:6,,
Header Version:,1,,
System Temp (C):,37.31,,
Detector Temp (C):,35.18,,
Humidity (%):,72.5,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.457,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.654260,18269.000000,405.000000
904.739192,1.634197,19684.000000,457.000000
909.949268,1.660181,21675.000000,474.000000
913.851816,1.636736,23482.000000,542.000000
917.750071,1.671980,25749.000000,548.000000
921.644031,1.674455,28448.000000,602.000000
925.533698,1.690621,31685.000000,646.000000
929.419072,1.728218,35299.000000,660.000000
933.300152,1.754273,38958.000000,686.000000
937.176938,1.789259,42411.000000,689.000000
941.049430,1.812322,45503.000000,701.000000
944.917629,1.848086,48422.000000,687.000000
950.068549,1.862075,52118.000000,716.000000
953.926729,1.931899,54797.000000,641.000000
957.780616,1.915671,57646.000000,700.000000
961.630209,1.927112,60453.000000,715.000000
965.475508,1.942307,63306.000000,723.000000
969.316514,1.932867,66143.000000,772.000000
973.153226,1.933704,68846.000000,802.000000
976.985644,1.909003,71365.000000,880.000000
980.813769,1.878442,73772.000000,976.000000
984.637600,1.875869,75891.000000,1010.000000
989.729363,1.859670,78252.000000,1081.000000
993.543176,1.842914,79748.000000,1145.000000
997.352695,1.828422,80903.000000,1201.000000
1001.157920,1.825418,81951.000000,1225.000000
1004.958852,1.825361,82676.000000,1236.000000
1008.755490,1.828874,83280.000000,1235.000000
1012.547834,1.812131,83764.000000,1291.000000
1016.335885,1.827244,84043.000000,1251.000000
1020.119642,1.833858,84173.000000,1234.000000
1023.899105,1.846487,84269.000000,1200.000000
1028.931711,1.870952,84249.000000,1134.000000
1032.701156,1.890030,84151.000000,1084.000000
1036.466307,1.908925,83920.000000,1035.000000
1040.227165,1.917561,83703.000000,1012.000000
1043.983729,1.938272,83454.000000,962.000000
1047.735999,1.969758,83200.000000,892.000000
1051.483976,1.958524,82984.000000,913.000000
1055.227659,1.984009,82891.000000,860.000000
1058.967048,1.985078,82902.000000,858.000000
1062.702144,1.985502,82983.000000,858.000000
1066.432946,1.981003,83085.000000,868.000000
1071.400670,1.973556,83272.000000,885.000000
1075.121453,1.969471,83611.000000,897.000000
1078.837943,1.959554,83910.000000,921.000000
1082.550140,1.963969,84123.000000,914.000000
1086.258042,1.944123,84498.000000,961.000000
1089.961651,1.935186,84758.000000,984.000000
1093.660967,1.929342,85070.000000,1001.000000
1097.355988,1.932646,85377.000000,997.000000
1101.046716,1.932177,85627.000000,1001.000000
1104.733151,1.943600,85977.000000,979.000000
