Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 14:1:32,,
Header Version:,1,,
System Temp (C):,43.32,,
Detector Temp (C):,41.65,,
Humidity (%):,50.17,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.387233,18269.000000,749.000000
904.739192,1.381891,19684.000000,817.000000
909.949268,1.396440,21675.000000,870.000000
913.851816,1.402252,23482.000000,930.000000
917.750071,1.428037,25749.000000,961.000000
921.644031,1.443752,28448.000000,1024.000000
925.533698,1.475548,31685.000000,1060.000000
929.419072,1.495838,35299.000000,1127.000000
933.300152,1.530277,38958.000000,1149.000000
937.176938,1.562272,42411.000000,1162.000000
941.049430,1.577774,45503.000000,1203.000000
944.917629,1.611324,48422.000000,1185.000000
950.068549,1.646211,52118.000000,1177.000000
953.926729,1.671314,54797.000000,1168.000000
957.780616,1.682675,57646.000000,1197.000000
961.630209,1.697557,60453.000000,1213.000000
965.475508,1.694914,63306.000000,1278.000000
969.316514,1.693055,66143.000000,1341.000000
973.153226,1.679818,68846.000000,1439.000000
976.985644,1.675949,71365.000000,1505.000000
980.813769,1.655704,73772.000000,1630.000000
984.637600,1.651790,75891.000000,1692.000000
989.729363,1.629150,78252.000000,1838.000000
993.543176,1.619098,79748.000000,1917.000000
997.352695,1.617485,80903.000000,1952.000000
1001.157920,1.613176,81951.000000,1997.000000
1004.958852,1.607749,82676.000000,2040.000000
1008.755490,1.609635,83280.000000,2046.000000
1012.547834,1.615989,83764.000000,2028.000000
1016.335885,1.616578,84043.000000,2032.000000
1020.119642,1.626320,84173.000000,1990.000000
1023.899105,1.643272,84269.000000,1916.000000
1028.931711,1.659098,84249.000000,1847.000000
1032.701156,1.664034,84151.000000,1824.000000
1036.466307,1.676875,83920.000000,1766.000000
1040.227165,1.687465,83703.000000,1719.000000
1043.983729,1.700816,83454.000000,1662.000000
1047.735999,1.714648,83200.000000,1605.000000
1051.483976,1.711899,82984.000000,1611.000000
1055.227659,1.717383,82891.000000,1589.000000
1058.967048,1.722389,82902.000000,1571.000000
1062.702144,1.720882,82983.000000,1578.000000
1066.432946,1.718125,83085.000000,1590.000000
1071.400670,1.715565,83272.000000,1603.000000
1075.121453,1.701110,83611.000000,1664.000000
1078.837943,1.705541,83910.000000,1653.000000
