Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 20:48:55,,
Header Version:,1,,
System Temp (C):,41.49,,
Detector Temp (C):,39.7,,
Humidity (%):,58.05,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.511206,18269.000000,563.000000
904.739192,1.502423,19684.000000,619.000000
909.949268,1.489622,21675.000000,702.000000
913.851816,1.538226,23482.000000,680.000000
917.750071,1.536859,25749.000000,748.000000
921.644031,1.572667,28448.000000,761.000000
925.533698,1.594519,31685.000000,806.000000
929.419072,1.639277,35299.000000,810.000000
933.300152,1.652077,38958.000000,868.000000
937.176938,1.677601,42411.000000,891.000000
941.049430,1.699954,45503.000000,908.000000
944.917629,1.739082,48422.000000,883.000000
950.068549,1.766623,52118.000000,892.000000
953.926729,1.781629,54797.000000,906.000000
957.780616,1.789958,57646.000000,935.000000
961.630209,1.806446,60453.000000,944.000000
965.475508,1.800144,63306.000000,1003.000000
969.316514,1.805963,66143.000000,1034.000000
973.153226,1.787112,68846.000000,1124.000000
976.985644,1.773220,71365.000000,1203.000000
980.813769,1.761021,73772.000000,1279.000000
984.637600,1.749535,75891.000000,1351.000000
989.729363,1.725588,78252.000000,1472.000000
993.543176,1.720734,79748.000000,1517.000000
997.352695,1.709308,80903.000000,1580.000000
1001.157920,1.717931,81951.000000,1569.000000
1004.958852,1.704659,82676.000000,1632.000000
1008.755490,1.715336,83280.000000,1604.000000
1012.547834,1.715962,83764.000000,1611.000000
1016.335885,1.727221,84043.000000,1575.000000
1020.119642,1.744474,84173.000000,1516.000000
1023.899105,1.746691,84269.000000,1510.000000
1028.931711,1.776038,84249.000000,1411.000000
1032.701156,1.779552,84151.000000,1398.000000
1036.466307,1.800995,83920.000000,1327.000000
1040.227165,1.809466,83703.000000,1298.000000
1043.983729,1.812544,83454.000000,1285.000000
