Method:,Hadamard 1,,
Host Date-Time:,16/11/23 @ 15:7:57,,
Header Version:,1,,
System Temp (C):,42.83,,
Detector Temp (C):,42,,
Humidity (%):,47.13,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.528518,18269.000000,541.000000
904.739192,1.542834,19684.000000,564.000000
909.949268,1.537308,21675.000000,629.000000
913.851816,1.546609,23482.000000,667.000000
917.750071,1.578251,25749.000000,680.000000
921.644031,1.585995,28448.000000,738.000000
925.533698,1.600487,31685.000000,795.000000
929.419072,1.647942,35299.000000,794.000000
933.300152,1.685341,38958.000000,804.000000
937.176938,1.705792,42411.000000,835.000000
941.049430,1.729644,45503.000000,848.000000
944.917629,1.750544,48422.000000,860.000000
950.068549,1.790131,52118.000000,845.000000
953.926729,1.823885,54797.000000,822.000000
957.780616,1.810404,57646.000000,892.000000
961.630209,1.835457,60453.000000,883.000000
965.475508,1.834834,63306.000000,926.000000
969.316514,1.826607,66143.000000,986.000000
973.153226,1.813804,68846.000000,1057.000000
976.985644,1.790527,71365.000000,1156.000000
980.813769,1.797484,73772.000000,1176.000000
984.637600,1.780165,75891.000000,1259.000000
989.729363,1.757727,78252.000000,1367.000000
993.543176,1.743056,79748.000000,1441.000000
997.352695,1.737410,80903.000000,1481.000000
1001.157920,1.735153,81951.000000,1508.000000
1004.958852,1.734110,82676.000000,1525.000000
1008.755490,1.730209,83280.000000,1550.000000
1012.547834,1.741786,83764.000000,1518.000000
1016.335885,1.741802,84043.000000,1523.000000
1020.119642,1.759632,84173.000000,1464.000000
1023.899105,1.767004,84269.000000,1441.000000
1028.931711,1.777271,84249.000000,1407.000000
1032.701156,1.795692,84151.000000,1347.000000
1036.466307,1.808588,83920.000000,1304.000000
1040.227165,1.823406,83703.000000,1257.000000
1043.983729,1.830484,83454.000000,1233.000000
1047.735999,1.845307,83200.000000,1188.000000
1051.483976,1.844910,82984.000000,1186.000000
1055.227659,1.860461,82891.000000,1143.000000
1058.967048,1.855983,82902.000000,1155.000000
1062.702144,1.864376,82983.000000,1134.000000
1066.432946,1.849855,83085.000000,1174.000000
1071.400670,1.842042,83272.000000,1198.000000
1075.121453,1.843807,83611.000000,1198.000000
1078.837943,1.832851,83910.000000,1233.000000
1082.550140,1.826271,84123.000000,1255.000000
1086.258042,1.840131,84498.000000,1221.000000
1089.961651,1.819954,84758.000000,1283.000000
1093.660967,1.825289,85070.000000,1272.000000
1097.355988,1.822776,85377.000000,1284.000000
1101.046716,1.831207,85627.000000,1263.000000
1104.733151,1.840961,85977.000000,1240.000000
1109.641718,1.853790,86198.000000,1207.000000
1113.318133,1.864866,86300.000000,1178.000000
1116.990256,1.879128,86380.000000,1141.000000
1120.658084,1.901275,86438.000000,1085.000000
1124.321619,1.929253,86497.000000,1018.000000
1127.980861,1.953821,86496.000000,962.000000
1131.635808,2.007943,86467.000000,849.000000
1135.286462,2.048751,86483.000000,773.000000
1138.932822,2.100672,86496.000000,686.000000
