,A,,11,B,,,,A,,11,B,,,,A,,,B,
,28,28,,28,28,,,29,29,,29,29,,,30,30,,30,30
1,9.6,0.3,,9.4,0.28,,,9.5,0.37,,9.3,0.345,,,8.5,0.39,,8.5,0.385
2,9.2,0.26,,9.2,0.265,,,9.1,0.32,,9.05,0.34,,,8.5,0.38,,8.5,0.385
3,9.2,0.27,,9.25,0.25,,,9,0.36,,9.15,0.38,,,8.5,0.39,,8.5,0.38
4,9.3,0.23,,9.15,0.27,,,9.3,0.4,,9.25,0.395,,,8.5,0.37,,8.5,0.385
5,9,0.31,,8.75,0.305,,,9.2,0.39,,9.2,0.38,,,8.5,0.4,,8.65,0.395
6,8.5,0.3,,8.5,0.31,,,9.2,0.37,,9.25,0.395,,,8.8,0.39,,8.65,0.4
7,8.5,0.32,,8.7,0.33,,,9.3,0.42,,9.4,0.37,,,8.5,0.41,,8.55,0.42
8,8.9,0.34,,8.85,0.325,,,9.5,0.32,,9.6,0.345,,,8.6,0.43,,8.3,0.435
9,8.8,0.31,,8.7,0.345,,,9.7,0.37,,9.6,0.38,,,8,0.44,,7.9,0.465
10,8.6,0.38,,9,0.345,,,9.5,0.39,,9.3,0.385,,,7.8,0.49,,7.95,0.44
11,9.4,0.31,,9.5,0.305,,,9.1,0.38,,9.3,0.375,,,8.1,0.39,,8.2,0.375
12,,,,,,,,,,,,,,,8.3,0.36,,8.15,0.375
,,,,,,,,,,,,,,,8,0.39,,8.25,0.39
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,A,,,B,,,,A,,,B,,,,A,,,B,
,31,31,,31,31,,,32,32,,32,32,,,33,33,,33,33
1,8.2,0.38,,8.3,0.37,,,8.4,0.39,,8.35,0.38,,,7.7,0.33,,7.85,0.34
2,8.4,0.36,,8.3,0.385,,,8.3,0.37,,8.15,0.345,,,8,0.35,,7.85,0.37
3,8.2,0.41,,8.35,0.395,,,8,0.32,,8.05,0.36,,,7.7,0.39,,7.75,0.39
4,8.5,0.38,,8.45,0.39,,,8.1,0.4,,8.1,0.35,,,7.8,0.39,,7.85,0.38
5,8.4,0.4,,8.6,0.42,,,8.1,0.3,,8.25,0.33,,,7.9,0.37,,7.9,0.37
6,8.8,0.44,,8.7,0.45,,,8.4,0.36,,8.15,0.355,,,7.9,0.37,,7.85,0.385
7,8.6,0.46,,8.4,0.44,,,7.9,0.35,,7.95,0.36,,,7.8,0.4,,7.85,0.37
8,8.2,0.42,,8.2,0.405,,,8,0.37,,7.9,0.35,,,7.9,0.34,,7.85,20.17
9,8.2,0.39,,8.15,0.395,,,7.8,0.33,,8.1,0.36,,,7.8,40,,7.85,20.21
10,8.1,0.4,,8.2,0.395,,,,,,,,,,7.9,0.42,,8.05,0.39
11,8.3,0.39,,8.25,0.385,,,,,,,,,,8.2,0.36,,7.9,0.335
12,,,,,,,,,,,,,,,7.6,0.31,,7.65,0.32
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,34,34,,34,34,,,35,35,,35,35,,,,,,,
1,7.8,0.39,,7.9,0.37,,,6.6,0.45,,6.8,0.46,,,,,,,
2,8,0.35,,8,0.365,,,7,0.47,,6.95,0.47,,,,,,,
3,8,0.38,,8.15,0.36,,,6.9,0.47,,7,0.4,,,,,,,
4,8.3,0.34,,7.9,16.67,,,7.1,0.33,,6.9,0.34,,,,,,,
5,7.5,33,,7.85,16.65,,,6.7,0.35,,6.8,0.37,,,,,,,
6,8.2,0.3,,8.1,0.32,,,6.9,0.39,,6.75,0.39,,,,,,,
7,8,0.34,,7.8,0.32,,,6.6,0.39,,6.6,0.41,,,,,,,
8,7.6,0.3,,7.8,0.345,,,6.6,0.43,,6.65,0.445,,,,,,,
9,8,0.39,,8.05,0.395,,,6.7,0.46,,6.65,0.455,,,,,,,
10,8.1,0.4,,8,0.375,,,,,,,,,,,,,,
11,7.9,0.35,,7.85,0.37,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
