,A,,,B,,,A,,,B,,,A,,,B,
,18,18,,18,18,,19,19,,19,19,,20,20,,20,20
1,8.2,0.33,,8.15,0.35,,8.3,0.37,,8.1,0.42,,6.5,0.38,,6.45,0.36
2,8.1,0.37,,8.05,0.375,,7.9,0.47,,7.85,0.465,,6.4,0.34,,6.45,0.365
3,8,0.38,,8.1,0.37,,7.8,0.46,,7.6,0.46,,6.5,0.39,,6.5,0.385
4,8.2,0.36,,8.2,0.35,,7.4,0.46,,7.35,0.46,,6.5,0.38,,6.5,0.41
5,8.2,0.34,,8.15,0.355,,7.3,0.46,,7.7,0.43,,6.5,0.44,,6.4,0.44
6,8.1,0.37,,7.9,0.37,,8.1,0.4,,7.85,0.4,,6.3,0.44,,6.45,0.455
7,7.7,0.37,,7.8,0.37,,7.6,0.4,,7.9,0.4,,6.6,0.47,,6.45,0.46
8,7.9,0.37,,7.8,0.375,,8.2,0.4,,8,0.38,,6.3,0.45,,6.35,0.45
9,7.7,0.38,,7.85,0.375,,7.8,0.36,,7.9,0.395,,6.4,0.45,,6.45,0.435
10,8,0.37,,8.1,0.37,,8,0.43,,8.2,0.43,,6.5,0.42,,6.4,0.41
11,8.2,0.37,,8.2,0.35,,8.4,0.43,,8.4,0.445,,6.3,0.4,,6.4,0.39
12,,,,,,,8.4,0.46,,8.35,0.415,,,,,,
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,A,,,B,,,A,,,B,,,A,,,B,
,21,21,,21,21,,22,22,,22,22,,23,23,,23,23
1,8.5,0.37,,8.55,0.36,,7.9,0.52,,7.7,0.505,,8.5,0.36,,8.55,0.345
2,8.6,0.35,,8.6,0.34,,7.5,0.49,,7.35,0.505,,8.6,0.33,,8.5,0.34
3,8.6,0.33,,8.6,0.32,,7.2,0.52,,7.3,0.5,,8.4,0.35,,8.45,0.375
4,8.6,0.31,,8.65,0.305,,7.4,0.48,,7.4,0.495,,8.5,0.4,,8.3,0.38
5,8.7,0.3,,8.6,0.305,,7.4,0.51,,7.45,0.525,,8.1,0.36,,8.2,0.37
6,8.5,0.31,,8.5,0.345,,7.5,0.54,,7.55,0.525,,8.3,0.38,,8.25,0.365
7,8.5,0.38,,8.5,0.41,,7.6,0.51,,7.6,0.505,,8.2,0.35,,8.1,0.35
8,8.5,0.44,,8.5,0.415,,7.6,0.5,,7.65,0.485,,8,0.35,,8.05,0.355
9,8.5,0.39,,8.4,0.39,,7.7,0.47,,7.65,0.5,,8.1,0.36,,8.2,0.365
10,8.3,0.39,,8.4,0.38,,7.6,0.53,,7.7,0.515,,8.3,0.37,,8.25,0.38
11,,,,,,,7.8,0.5,,7.75,0.49,,8.2,0.39,,8.15,0.375
12,,,,,,,7.7,0.48,,7.8,0.5,,8.1,0.36,,8.3,0.36
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,A,,,B,,,A,,,B,,,A,,,B,
,24,24,,24,24,,25,25,,25,25,,26,26,,26,26
1,8.6,0.46,,8.4,0.42,,8.6,0.41,,8.7,0.42,,9.8,1.01,,10,0.985
2,8.2,0.38,,8.35,0.4,,8.8,0.43,,8.7,0.43,,10.2,0.96,,10.1,1.07
3,8.5,0.42,,8.55,0.405,,8.6,0.43,,8.5,0.445,,10,1.18,,9.9,1.235
4,8.6,0.39,,8.65,0.41,,8.4,0.46,,8.45,0.465,,9.8,1.29,,9.6,1.22
5,8.7,0.43,,8.7,0.42,,8.5,0.47,,8.4,0.475,,9.4,1.15,,9.45,1.22
6,8.7,0.41,,8.85,0.39,,8.3,0.48,,8.45,0.48,,9.5,1.29,,9.55,1.205
7,9,0.37,,8.8,0.39,,8.6,0.48,,8.55,0.465,,9.6,1.12,,9.5,1.14
8,8.6,0.41,,8.4,0.41,,8.5,0.45,,8.45,0.415,,9.4,1.16,,8.85,1.03
9,8.2,0.41,,8.35,0.41,,8.4,0.38,,8.35,0.385,,8.3,0.9,,9,0.945
10,8.5,0.41,,8.55,0.435,,8.3,0.39,,8.5,0.35,,9.7,0.99,,9.75,1
11,,,,,,,8.7,0.31,,8.45,0.335,,,,,,
12,,,,,,,8.2,0.36,,8.4,0.385,,,,,,
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,A,,,B,,,A,,,B,,,A,,,B,
,27,27,,27,27,,28,28,,28,28,,29,29,,29,29
1,8.5,0.38,,8.4,0.365,,,,,,,,,,,,
2,8.3,0.35,,8.3,0.375,,,,,,,,,,,,
3,8.3,0.4,,8.3,0.395,,,,,,,,,,,,
4,8.3,0.39,,8.35,0.405,,,,,,,,,,,,
5,8.4,0.42,,8.35,0.41,,,,,,,,,,,,
6,8.3,0.4,,8.3,0.38,,,,,,,,,,,,
7,8.3,0.36,,8.4,0.385,,,,,,,,,,,,
8,8.5,0.41,,8.5,0.395,,,,,,,,,,,,
9,8.5,0.38,,8.4,0.395,,,,,,,,,,,,
10,8.3,0.41,,8.4,0.395,,,,,,,,,,,,
11,8.5,0.38,,8.55,0.375,,,,,,,,,,,,
12,8.6,0.37,,8.55,0.375,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,A,,,B,,,A,,,B,,,A,,,B,
