Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 15:48:57,,
Header Version:,1,,
System Temp (C):,43.14,,
Detector Temp (C):,41.66,,
Humidity (%):,48.45,,
Lamp PD:,128,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.623925,18269.000000,4343.000000
904.739192,0.626847,19684.000000,4648.000000
909.949268,0.613901,21675.000000,5273.000000
913.851816,0.643275,23482.000000,5339.000000
917.750071,0.661720,25749.000000,5611.000000
921.644031,0.662291,28448.000000,6191.000000
925.533698,0.685542,31685.000000,6536.000000
929.419072,0.707029,35299.000000,6930.000000
933.300152,0.716695,38958.000000,7480.000000
937.176938,0.728424,42411.000000,7926.000000
941.049430,0.735990,45503.000000,8357.000000
944.917629,0.749284,48422.000000,8625.000000
950.068549,0.756137,52118.000000,9138.000000
953.926729,0.754635,54797.000000,9641.000000
957.780616,0.750639,57646.000000,10236.000000
961.630209,0.752115,60453.000000,10698.000000
965.475508,0.742184,63306.000000,11462.000000
969.316514,0.736874,66143.000000,12123.000000
973.153226,0.722368,68846.000000,13047.000000
976.985644,0.712726,71365.000000,13828.000000
980.813769,0.704730,73772.000000,14560.000000
984.637600,0.700208,75891.000000,15135.000000
989.729363,0.694069,78252.000000,15828.000000
993.543176,0.694166,79748.000000,16127.000000
997.352695,0.688197,80903.000000,16587.000000
1001.157920,0.692010,81951.000000,16655.000000
1004.958852,0.701821,82676.000000,16427.000000
1008.755490,0.709848,83280.000000,16244.000000
1012.547834,0.720052,83764.000000,15959.000000
1016.335885,0.733946,84043.000000,15508.000000
1020.119642,0.749922,84173.000000,14971.000000
1023.899105,0.766552,84269.000000,14425.000000
1028.931711,0.789130,84249.000000,13691.000000
1032.701156,0.811718,84151.000000,12982.000000
1036.466307,0.827199,83920.000000,12493.000000
1040.227165,0.839418,83703.000000,12115.000000
1043.983729,0.854339,83454.000000,11671.000000
1047.735999,0.864477,83200.000000,11367.000000
1051.483976,0.883565,82984.000000,10850.000000
1055.227659,0.880842,82891.000000,10906.000000
1058.967048,0.893300,82902.000000,10599.000000
1062.702144,0.898462,82983.000000,10484.000000
1066.432946,0.892949,83085.000000,10631.000000
1071.400670,0.893762,83272.000000,10635.000000
1075.121453,0.894465,83611.000000,10661.000000
1078.837943,0.895487,83910.000000,10674.000000
1082.550140,0.887488,84123.000000,10900.000000
1086.258042,0.882777,84498.000000,11068.000000
1089.961651,0.875218,84758.000000,11297.000000
1093.660967,0.878817,85070.000000,11245.000000
1097.355988,0.882666,85377.000000,11186.000000
1101.046716,0.883083,85627.000000,11208.000000
1104.733151,0.886290,85977.000000,11171.000000
1109.641718,0.891467,86198.000000,11067.000000
1113.318133,0.906262,86300.000000,10709.000000
1116.990256,0.917089,86380.000000,10455.000000
1120.658084,0.925896,86438.000000,10252.000000
1124.321619,0.941322,86497.000000,9901.000000
1127.980861,0.955449,86496.000000,9584.000000
1131.635808,0.969818,86467.000000,9269.000000
1135.286462,0.988909,86483.000000,8872.000000
1138.932822,0.999027,86496.000000,8669.000000
1142.574889,1.011716,86410.000000,8411.000000
1147.424299,1.019250,86563.000000,8281.000000
1151.056347,1.027922,86656.000000,8126.000000
1154.684102,1.035709,86693.000000,7985.000000
1158.307563,1.048706,86776.000000,7757.000000
