Method:,Hadamard 1,,
Host Date-Time:,16/10/23 @ 14:9:40,,
Header Version:,1,,
System Temp (C):,40.75,,
Detector Temp (C):,39.4,,
Humidity (%):,58.66,,
Lamp PD:,125,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.448,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.680790,18269.000000,3810.000000
904.739192,0.686337,19684.000000,4053.000000
909.949268,0.698569,21675.000000,4339.000000
913.851816,0.694682,23482.000000,4743.000000
917.750071,0.715016,25749.000000,4963.000000
921.644031,0.724806,28448.000000,5361.000000
925.533698,0.745284,31685.000000,5696.000000
929.419072,0.755511,35299.000000,6198.000000
933.300152,0.778017,38958.000000,6495.000000
937.176938,0.772505,42411.000000,7161.000000
941.049430,0.799623,45503.000000,7218.000000
944.917629,0.795125,48422.000000,7761.000000
950.068549,0.805244,52118.000000,8161.000000
953.926729,0.805219,54797.000000,8581.000000
957.780616,0.807154,57646.000000,8987.000000
961.630209,0.799373,60453.000000,9595.000000
965.475508,0.793654,63306.000000,10181.000000
969.316514,0.789277,66143.000000,10745.000000
973.153226,0.778353,68846.000000,11469.000000
976.985644,0.777902,71365.000000,11901.000000
980.813769,0.762279,73772.000000,12753.000000
984.637600,0.759189,75891.000000,13213.000000
989.729363,0.762583,78252.000000,13518.000000
993.543176,0.753333,79748.000000,14073.000000
997.352695,0.760350,80903.000000,14048.000000
1001.157920,0.765662,81951.000000,14057.000000
1004.958852,0.775272,82676.000000,13871.000000
1008.755490,0.784740,83280.000000,13671.000000
1012.547834,0.793013,83764.000000,13491.000000
1016.335885,0.810291,84043.000000,13008.000000
1020.119642,0.825182,84173.000000,12589.000000
1023.899105,0.842667,84269.000000,12106.000000
1028.931711,0.858085,84249.000000,11681.000000
1032.701156,0.882957,84151.000000,11018.000000
1036.466307,0.892902,83920.000000,10739.000000
1040.227165,0.909567,83703.000000,10308.000000
1043.983729,0.923013,83454.000000,9964.000000
1047.735999,0.928720,83200.000000,9804.000000
1051.483976,0.943103,82984.000000,9460.000000
1055.227659,0.940007,82891.000000,9517.000000
1058.967048,0.958856,82902.000000,9114.000000
1062.702144,0.950133,82983.000000,9308.000000
1066.432946,0.964124,83085.000000,9024.000000
1071.400670,0.950943,83272.000000,9323.000000
1075.121453,0.960131,83611.000000,9165.000000
1078.837943,0.953606,83910.000000,9337.000000
1082.550140,0.949391,84123.000000,9452.000000
1086.258042,0.945345,84498.000000,9583.000000
1089.961651,0.946498,84758.000000,9587.000000
1093.660967,0.945519,85070.000000,9644.000000
1097.355988,0.943719,85377.000000,9719.000000
1101.046716,0.949436,85627.000000,9620.000000
1104.733151,0.955882,85977.000000,9517.000000
1109.641718,0.964825,86198.000000,9347.000000
1113.318133,0.970950,86300.000000,9227.000000
