Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 13:41:32,,
Header Version:,1,,
System Temp (C):,36.13,,
Detector Temp (C):,33.91,,
Humidity (%):,70.39,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.447,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.490127,18269.000000,591.000000
904.739192,1.487255,19684.000000,641.000000
909.949268,1.490861,21675.000000,700.000000
913.851816,1.494517,23482.000000,752.000000
917.750071,1.499070,25749.000000,816.000000
921.644031,1.518544,28448.000000,862.000000
925.533698,1.549031,31685.000000,895.000000
929.419072,1.576023,35299.000000,937.000000
933.300152,1.613788,38958.000000,948.000000
937.176938,1.616755,42411.000000,1025.000000
941.049430,1.670374,45503.000000,972.000000
944.917629,1.678149,48422.000000,1016.000000
950.068549,1.737439,52118.000000,954.000000
953.926729,1.769807,54797.000000,931.000000
957.780616,1.770430,57646.000000,978.000000
961.630209,1.803694,60453.000000,950.000000
965.475508,1.802314,63306.000000,998.000000
969.316514,1.796820,66143.000000,1056.000000
973.153226,1.790604,68846.000000,1115.000000
976.985644,1.779767,71365.000000,1185.000000
980.813769,1.758313,73772.000000,1287.000000
984.637600,1.743153,75891.000000,1371.000000
989.729363,1.728548,78252.000000,1462.000000
993.543176,1.705820,79748.000000,1570.000000
997.352695,1.698450,80903.000000,1620.000000
1001.157920,1.688762,81951.000000,1678.000000
1004.958852,1.687186,82676.000000,1699.000000
1008.755490,1.674781,83280.000000,1761.000000
1012.547834,1.678286,83764.000000,1757.000000
1016.335885,1.691759,84043.000000,1709.000000
1020.119642,1.692431,84173.000000,1709.000000
1023.899105,1.709766,84269.000000,1644.000000
1028.931711,1.721988,84249.000000,1598.000000
1032.701156,1.738385,84151.000000,1537.000000
1036.466307,1.749515,83920.000000,1494.000000
1040.227165,1.771065,83703.000000,1418.000000
1043.983729,1.781883,83454.000000,1379.000000
1047.735999,1.792695,83200.000000,1341.000000
1051.483976,1.807732,82984.000000,1292.000000
1055.227659,1.813338,82891.000000,1274.000000
1058.967048,1.817506,82902.000000,1262.000000
1062.702144,1.816555,82983.000000,1266.000000
1066.432946,1.826451,83085.000000,1239.000000
1071.400670,1.817380,83272.000000,1268.000000
1075.121453,1.825006,83611.000000,1251.000000
1078.837943,1.813898,83910.000000,1288.000000
1082.550140,1.808639,84123.000000,1307.000000
1086.258042,1.808582,84498.000000,1313.000000
1089.961651,1.798813,84758.000000,1347.000000
1093.660967,1.796238,85070.000000,1360.000000
1097.355988,1.796208,85377.000000,1365.000000
1101.046716,1.799072,85627.000000,1360.000000
1104.733151,1.806306,85977.000000,1343.000000
1109.641718,1.812954,86198.000000,1326.000000
1113.318133,1.819403,86300.000000,1308.000000
1116.990256,1.853628,86380.000000,1210.000000
1120.658084,1.850701,86438.000000,1219.000000
1124.321619,1.877438,86497.000000,1147.000000
1127.980861,1.911281,86496.000000,1061.000000
1131.635808,1.945624,86467.000000,980.000000
1135.286462,1.994923,86483.000000,875.000000
1138.932822,2.048255,86496.000000,774.000000
1142.574889,2.119660,86410.000000,656.000000
1147.424299,2.195393,86563.000000,552.000000
1151.056347,2.252057,86656.000000,485.000000
1154.684102,2.265886,86693.000000,470.000000
1158.307563,2.291996,86776.000000,443.000000
1161.926730,2.343683,86932.000000,394.000000
1165.541603,2.375123,87054.000000,367.000000
1169.152183,2.378552,87266.000000,365.000000
1172.758470,2.376478,87564.000000,368.000000
1176.360462,2.383505,88025.000000,364.000000
1179.958161,2.406192,88414.000000,347.000000
1184.748414,2.448974,89413.000000,318.000000
1188.336095,2.417667,90258.000000,345.000000
1191.919482,2.418420,91201.000000,348.000000
1195.498575,2.419655,92249.000000,351.000000
1199.073374,2.430531,93241.000000,346.000000
1202.643880,2.409225,94422.000000,368.000000
1206.210092,2.393169,95693.000000,387.000000
1209.772011,2.371637,96947.000000,412.000000
1213.329636,2.359809,98235.000000,429.000000
1216.882967,2.343308,99643.000000,452.000000
1221.614063,2.332772,101558.000000,472.000000
1225.157376,2.291514,102920.000000,526.000000
1228.696395,2.284146,104459.000000,543.000000
1232.231121,2.269435,106001.000000,570.000000
1235.761552,2.266152,107602.000000,583.000000
1239.287691,2.242728,109122.000000,624.000000
1242.809535,2.228866,110606.000000,653.000000
1246.327086,2.233070,112195.000000,656.000000
1249.840343,2.212397,113829.000000,698.000000
1253.349307,2.231862,115465.000000,677.000000
1258.021246,2.214737,117559.000000,717.000000
1261.520191,2.214807,119218.000000,727.000000
1265.014842,2.210208,121045.000000,746.000000
1268.505200,2.250020,122707.000000,690.000000
1271.991264,2.236587,124487.000000,722.000000
1275.473035,2.249825,126207.000000,710.000000
1278.950512,2.272923,127852.000000,682.000000
1282.423695,2.257742,129253.000000,714.000000
1285.892584,2.316319,130722.000000,631.000000
1289.357180,2.328350,131838.000000,619.000000
1293.969962,2.335455,133363.000000,616.000000
1297.424540,2.362496,134097.000000,582.000000
1300.874824,2.398410,134896.000000,539.000000
1304.320814,2.428904,135580.000000,505.000000
