Method:,Hadamard 1,,
Host Date-Time:,25/10/23 @ 16:0:27,,
Header Version:,1,,
System Temp (C):,37.95,,
Detector Temp (C):,35.54,,
Humidity (%):,63.98,,
Lamp PD:,127,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.504,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.591005,18269.000000,4685.000000
904.739192,0.574616,19684.000000,5242.000000
909.949268,0.593313,21675.000000,5529.000000
913.851816,0.603653,23482.000000,5849.000000
917.750071,0.621815,25749.000000,6151.000000
921.644031,0.627459,28448.000000,6708.000000
925.533698,0.647338,31685.000000,7137.000000
929.419072,0.668839,35299.000000,7567.000000
933.300152,0.677260,38958.000000,8191.000000
937.176938,0.696071,42411.000000,8539.000000
941.049430,0.705926,45503.000000,8956.000000
944.917629,0.718244,48422.000000,9264.000000
950.068549,0.728473,52118.000000,9739.000000
953.926729,0.726806,54797.000000,10279.000000
957.780616,0.721236,57646.000000,10953.000000
961.630209,0.718385,60453.000000,11562.000000
965.475508,0.708935,63306.000000,12374.000000
969.316514,0.700601,66143.000000,13179.000000
973.153226,0.685071,68846.000000,14217.000000
976.985644,0.681174,71365.000000,14870.000000
980.813769,0.667424,73772.000000,15866.000000
984.637600,0.662496,75891.000000,16508.000000
989.729363,0.660195,78252.000000,17112.000000
993.543176,0.659402,79748.000000,17471.000000
997.352695,0.657130,80903.000000,17817.000000
1001.157920,0.661673,81951.000000,17860.000000
1004.958852,0.672089,82676.000000,17591.000000
1008.755490,0.682972,83280.000000,17281.000000
1012.547834,0.692430,83764.000000,17007.000000
1016.335885,0.710294,84043.000000,16376.000000
1020.119642,0.724377,84173.000000,15878.000000
1023.899105,0.746547,84269.000000,15105.000000
1028.931711,0.763449,84249.000000,14525.000000
1032.701156,0.789958,84151.000000,13649.000000
1036.466307,0.811696,83920.000000,12947.000000
1040.227165,0.818732,83703.000000,12706.000000
1043.983729,0.835159,83454.000000,12198.000000
1047.735999,0.847322,83200.000000,11825.000000
1051.483976,0.858863,82984.000000,11485.000000
1055.227659,0.858036,82891.000000,11494.000000
1058.967048,0.872499,82902.000000,11119.000000
1062.702144,0.872845,82983.000000,11121.000000
1066.432946,0.874121,83085.000000,11102.000000
1071.400670,0.862187,83272.000000,11437.000000
1075.121453,0.867382,83611.000000,11347.000000
1078.837943,0.862361,83910.000000,11520.000000
1082.550140,0.861431,84123.000000,11574.000000
1086.258042,0.849406,84498.000000,11952.000000
1089.961651,0.847230,84758.000000,12049.000000
1093.660967,0.848141,85070.000000,12068.000000
1097.355988,0.852848,85377.000000,11981.000000
1101.046716,0.853538,85627.000000,11997.000000
1104.733151,0.855636,85977.000000,11988.000000
1109.641718,0.863762,86198.000000,11796.000000
1113.318133,0.876826,86300.000000,11460.000000
1116.990256,0.888360,86380.000000,11170.000000
1120.658084,0.899956,86438.000000,10883.000000
1124.321619,0.916391,86497.000000,10486.000000
1127.980861,0.932804,86496.000000,10097.000000
