Method:,Hadamard 1,,
Host Date-Time:,25/10/23 @ 16:0:53,,
Header Version:,1,,
System Temp (C):,37.99,,
Detector Temp (C):,35.58,,
Humidity (%):,63.51,,
Lamp PD:,126,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.509,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.600565,18269.000000,4583.000000
904.739192,0.565273,19684.000000,5356.000000
909.949268,0.597258,21675.000000,5479.000000
913.851816,0.597827,23482.000000,5928.000000
917.750071,0.606553,25749.000000,6371.000000
921.644031,0.629731,28448.000000,6673.000000
925.533698,0.637650,31685.000000,7298.000000
929.419072,0.670910,35299.000000,7531.000000
933.300152,0.669535,38958.000000,8338.000000
937.176938,0.700416,42411.000000,8454.000000
941.049430,0.696429,45503.000000,9154.000000
944.917629,0.721113,48422.000000,9203.000000
950.068549,0.720958,52118.000000,9909.000000
953.926729,0.726679,54797.000000,10282.000000
957.780616,0.717446,57646.000000,11049.000000
961.630209,0.711861,60453.000000,11737.000000
965.475508,0.707603,63306.000000,12412.000000
969.316514,0.699318,66143.000000,13218.000000
973.153226,0.686754,68846.000000,14162.000000
976.985644,0.679629,71365.000000,14923.000000
980.813769,0.669950,73772.000000,15774.000000
984.637600,0.665108,75891.000000,16409.000000
989.729363,0.653521,78252.000000,17377.000000
993.543176,0.660796,79748.000000,17415.000000
997.352695,0.658375,80903.000000,17766.000000
1001.157920,0.663525,81951.000000,17784.000000
1004.958852,0.670659,82676.000000,17649.000000
1008.755490,0.680891,83280.000000,17364.000000
1012.547834,0.694683,83764.000000,16919.000000
1016.335885,0.708573,84043.000000,16441.000000
1020.119642,0.724569,84173.000000,15871.000000
1023.899105,0.746547,84269.000000,15105.000000
1028.931711,0.766871,84249.000000,14411.000000
1032.701156,0.780267,84151.000000,13957.000000
1036.466307,0.815267,83920.000000,12841.000000
1040.227165,0.817027,83703.000000,12756.000000
1043.983729,0.832709,83454.000000,12267.000000
1047.735999,0.851455,83200.000000,11713.000000
1051.483976,0.854237,82984.000000,11608.000000
1055.227659,0.869444,82891.000000,11196.000000
1058.967048,0.865102,82902.000000,11310.000000
1062.702144,0.875941,82983.000000,11042.000000
1066.432946,0.871897,83085.000000,11159.000000
1071.400670,0.867959,83272.000000,11286.000000
1075.121453,0.862511,83611.000000,11475.000000
1078.837943,0.854072,83910.000000,11742.000000
1082.550140,0.864292,84123.000000,11498.000000
1086.258042,0.849115,84498.000000,11960.000000
1089.961651,0.847338,84758.000000,12046.000000
1093.660967,0.846740,85070.000000,12107.000000
1097.355988,0.849706,85377.000000,12068.000000
1101.046716,0.850544,85627.000000,12080.000000
1104.733151,0.851023,85977.000000,12116.000000
1109.641718,0.860279,86198.000000,11891.000000
1113.318133,0.873015,86300.000000,11561.000000
1116.990256,0.880233,86380.000000,11381.000000
1120.658084,0.905620,86438.000000,10742.000000
1124.321619,0.920553,86497.000000,10386.000000
1127.980861,0.932847,86496.000000,10096.000000
1131.635808,0.950840,86467.000000,9683.000000
1135.286462,0.952089,86483.000000,9657.000000
1138.932822,0.987655,86496.000000,8899.000000
1142.574889,0.982032,86410.000000,9006.000000
1147.424299,1.001523,86563.000000,8626.000000
1151.056347,1.011148,86656.000000,8446.000000
1154.684102,1.020636,86693.000000,8267.000000
1158.307563,1.034063,86776.000000,8023.000000
1161.926730,1.034410,86932.000000,8031.000000
1165.541603,1.044643,87054.000000,7855.000000
1169.152183,1.049754,87266.000000,7782.000000
1172.758470,1.049786,87564.000000,7808.000000
1176.360462,1.053626,88025.000000,7780.000000
1179.958161,1.036751,88414.000000,8124.000000
1184.748414,1.043345,89413.000000,8092.000000
1188.336095,1.030638,90258.000000,8411.000000
1191.919482,1.034121,91201.000000,8431.000000
1195.498575,1.015913,92249.000000,8893.000000
1199.073374,1.012095,93241.000000,9068.000000
1202.643880,1.013225,94422.000000,9159.000000
1206.210092,0.987224,95693.000000,9855.000000
1209.772011,0.997753,96947.000000,9745.000000
1213.329636,0.983964,98235.000000,10193.000000
1216.882967,0.979538,99643.000000,10445.000000
1221.614063,0.969208,101558.000000,10902.000000
1225.157376,0.966083,102920.000000,11128.000000
1228.696395,0.966560,104459.000000,11282.000000
1232.231121,0.964688,106001.000000,11498.000000
1235.761552,0.962300,107602.000000,11736.000000
1239.287691,0.972071,109122.000000,11637.000000
1242.809535,0.966593,110606.000000,11945.000000
1246.327086,0.974500,112195.000000,11898.000000
1249.840343,0.979977,113829.000000,11920.000000
1253.349307,0.986138,115465.000000,11921.000000
1258.021246,0.994344,117559.000000,11910.000000
1261.520191,1.002184,119218.000000,11862.000000
1265.014842,1.007145,121045.000000,11907.000000
1268.505200,1.015408,122707.000000,11843.000000
1271.991264,1.028016,124487.000000,11671.000000
1275.473035,1.032935,126207.000000,11699.000000
1278.950512,1.041389,127852.000000,11623.000000
1282.423695,1.060868,129253.000000,11235.000000
1285.892584,1.060588,130722.000000,11370.000000
1289.357180,1.080944,131838.000000,10942.000000
1293.969962,1.087649,133363.000000,10899.000000
1297.424540,1.102236,134097.000000,10597.000000
1300.874824,1.114053,134896.000000,10374.000000
1304.320814,1.117297,135580.000000,10349.000000
1307.762510,1.132406,136229.000000,10043.000000
1311.199913,1.138783,136606.000000,9924.000000
1314.633022,1.143833,136992.000000,9837.000000
1318.061837,1.147879,137473.000000,9780.000000
1321.486359,1.159015,137770.000000,9553.000000
1324.906587,1.159351,137920.000000,9556.000000
1328.322522,1.164932,138008.000000,9440.000000
1332.870422,1.168991,138020.000000,9353.000000
1336.276338,1.165439,137847.000000,9418.000000
1339.677961,1.174080,137691.000000,9222.000000
1343.075289,1.175400,137466.000000,9179.000000
1346.468324,1.182786,137219.000000,9008.000000
1349.857066,1.199424,136769.000000,8641.000000
1353.241514,1.225059,136220.000000,8113.000000
1356.621668,1.222389,135819.000000,8139.000000
1359.997528,1.269546,135437.000000,7281.000000
1363.369095,1.268032,134947.000000,7280.000000
1367.857839,1.304111,134229.000000,6664.000000
1371.219387,1.306525,133782.000000,6605.000000
1374.576642,1.326511,133317.000000,6286.000000
1377.929603,1.348081,132795.000000,5958.000000
1381.278270,1.386437,132372.000000,5437.000000
1384.622644,1.411105,132120.000000,5127.000000
1387.962724,1.500640,131903.000000,4165.000000
1391.298510,1.479354,131655.000000,4366.000000
1394.630003,1.474668,131316.000000,4402.000000
1397.957202,1.471164,130912.000000,4424.000000
1402.386789,1.405081,130249.000000,5125.000000
1405.703969,1.390059,129577.000000,5278.000000
1409.016856,1.390158,129091.000000,5257.000000
1412.325449,1.373672,128656.000000,5442.000000
1415.629749,1.368686,128099.000000,5481.000000
1418.929755,1.353434,127582.000000,5654.000000
1422.225467,1.335414,127181.000000,5875.000000
1425.516886,1.328438,126880.000000,5956.000000
1428.804011,1.301899,126593.000000,6317.000000
1432.086843,1.308229,126398.000000,6216.000000
1436.457272,1.266382,126107.000000,6829.000000
1439.730085,1.289122,125978.000000,6474.000000
1442.998604,1.258067,125962.000000,6953.000000
1446.262830,1.265406,125787.000000,6827.000000
1449.522762,1.257161,125591.000000,6947.000000
1452.778400,1.266713,125464.000000,6789.000000
1456.029745,1.280071,125171.000000,6568.000000
1459.276796,1.260586,124909.000000,6855.000000
1462.519553,1.297392,124592.000000,6282.000000
1465.758017,1.276237,124260.000000,6578.000000
1470.069290,1.273890,123684.000000,6583.000000
1473.297735,1.278215,123290.000000,6497.000000
1476.521886,1.281543,122785.000000,6421.000000
1479.741744,1.289250,122278.000000,6282.000000
1482.957309,1.294487,121732.000000,6179.000000
1486.168579,1.305958,121147.000000,5989.000000
1489.375556,1.296609,120507.000000,6087.000000
1492.578239,1.315592,119914.000000,5798.000000
1495.776629,1.328698,119197.000000,5592.000000
1498.970725,1.304403,118537.000000,5881.000000
1503.222841,1.329676,117543.000000,5502.000000
1506.406918,1.322893,116773.000000,5552.000000
1509.586702,1.332195,115949.000000,5396.000000
1512.762192,1.337232,115106.000000,5295.000000
1515.933389,1.355893,114146.000000,5030.000000
1519.100292,1.333882,113337.000000,5254.000000
1522.262901,1.348298,112368.000000,5039.000000
1525.421217,1.340723,111411.000000,5084.000000
1528.575239,1.338962,110371.000000,5057.000000
1531.724967,1.345841,109317.000000,4930.000000
1534.870402,1.338955,108165.000000,4956.000000
1539.057636,1.355122,106604.000000,4706.000000
1542.193052,1.339773,105395.000000,4820.000000
1545.324174,1.347255,104112.000000,4680.000000
1548.451003,1.350502,102809.000000,4587.000000
1551.573538,1.348667,101438.000000,4545.000000
1554.691780,1.341087,100012.000000,4560.000000
1557.805728,1.351162,98633.000000,4394.000000
1560.915382,1.323576,97134.000000,4611.000000
1564.020743,1.334581,95608.000000,4425.000000
1567.121810,1.340912,94118.000000,4293.000000
1571.249887,1.338771,92019.000000,4218.000000
1574.340935,1.360500,90456.000000,3944.000000
1577.427690,1.328380,88821.000000,4170.000000
1580.510151,1.341318,87162.000000,3972.000000
1583.588318,1.345695,85518.000000,3858.000000
1586.662192,1.339667,83880.000000,3837.000000
1589.731772,1.337050,82181.000000,3782.000000
1592.797059,1.346526,80396.000000,3620.000000
1595.858052,1.338686,78805.000000,3613.000000
1598.914751,1.353987,77067.000000,3411.000000
1602.983671,1.362664,74796.000000,3245.000000
1606.030352,1.355786,73099.000000,3222.000000
1609.072739,1.358570,71400.000000,3127.000000
1612.110833,1.378354,69781.000000,2920.000000
1615.144632,1.373942,68082.000000,2878.000000
1618.174138,1.382198,66375.000000,2753.000000
1621.199351,1.380567,64709.000000,2694.000000
1624.220270,1.402661,63082.000000,2496.000000
1627.236895,1.408705,61429.000000,2397.000000
1630.249227,1.465807,59860.000000,2048.000000
1634.258990,1.409853,57763.000000,2248.000000
1637.261303,1.491292,56194.000000,1813.000000
1640.259322,1.526816,54559.000000,1622.000000
1643.253048,1.429327,52968.000000,1971.000000
1646.242480,1.628165,51356.000000,1209.000000
1649.227618,1.531051,49659.000000,1462.000000
1652.208463,1.557239,47803.000000,1325.000000
1655.185014,1.584841,45865.000000,1193.000000
1658.157272,1.529044,43581.000000,1289.000000
1661.125236,1.704814,40998.000000,809.000000
1665.075842,1.529190,36899.000000,1091.000000
1668.033787,1.580856,33256.000000,873.000000
1670.987439,1.548793,29297.000000,828.000000
1673.936797,1.516866,25248.000000,768.000000
1676.881861,1.473517,21362.000000,718.000000
1679.822632,1.557902,17958.000000,497.000000
1682.759109,1.535889,15044.000000,438.000000
1685.691293,1.474907,12715.000000,426.000000
1688.619182,1.608445,10757.000000,265.000000
1691.542779,1.574363,9157.000000,244.000000
1695.434228,1.452472,7483.000000,264.000000
1698.347805,2.432568,6498.000000,24.000000
1701.257089,1.264973,5614.000000,305.000000
