Method:,Hadamard 1,,
Host Date-Time:,8/9/23 @ 11:56:38,,
Header Version:,1,,
System Temp (C):,41.11,,
Detector Temp (C):,39.43,,
Humidity (%):,67.93,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.517422,18269.000000,555.000000
904.739192,1.538239,19684.000000,570.000000
909.949268,1.516415,21675.000000,660.000000
913.851816,1.528126,23482.000000,696.000000
917.750071,1.545656,25749.000000,733.000000
921.644031,1.554779,28448.000000,793.000000
925.533698,1.578128,31685.000000,837.000000
929.419072,1.613769,35299.000000,859.000000
933.300152,1.646114,38958.000000,880.000000
937.176938,1.654351,42411.000000,940.000000
941.049430,1.690492,45503.000000,928.000000
944.917629,1.715161,48422.000000,933.000000
950.068549,1.748038,52118.000000,931.000000
953.926729,1.783550,54797.000000,902.000000
957.780616,1.817770,57646.000000,877.000000
961.630209,1.824769,60453.000000,905.000000
965.475508,1.822352,63306.000000,953.000000
969.316514,1.811033,66143.000000,1022.000000
973.153226,1.805663,68846.000000,1077.000000
976.985644,1.794680,71365.000000,1145.000000
980.813769,1.778693,73772.000000,1228.000000
984.637600,1.767921,75891.000000,1295.000000
989.729363,1.741207,78252.000000,1420.000000
993.543176,1.736179,79748.000000,1464.000000
997.352695,1.717353,80903.000000,1551.000000
1001.157920,1.716550,81951.000000,1574.000000
1004.958852,1.707596,82676.000000,1621.000000
1008.755490,1.703320,83280.000000,1649.000000
1012.547834,1.696973,83764.000000,1683.000000
1016.335885,1.715792,84043.000000,1617.000000
1020.119642,1.721868,84173.000000,1597.000000
1023.899105,1.727836,84269.000000,1577.000000
1028.931711,1.737480,84249.000000,1542.000000
1032.701156,1.764891,84151.000000,1446.000000
1036.466307,1.774954,83920.000000,1409.000000
1040.227165,1.789522,83703.000000,1359.000000
1043.983729,1.799887,83454.000000,1323.000000
1047.735999,1.807518,83200.000000,1296.000000
1051.483976,1.824523,82984.000000,1243.000000
1055.227659,1.824036,82891.000000,1243.000000
1058.967048,1.837939,82902.000000,1204.000000
1062.702144,1.843442,82983.000000,1190.000000
1066.432946,1.838896,83085.000000,1204.000000
