Method:,Hadamard 1,,
Host Date-Time:,8/9/23 @ 12:48:49,,
Header Version:,1,,
System Temp (C):,39.44,,
Detector Temp (C):,37.59,,
Humidity (%):,61.94,,
Lamp PD:,2615,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.464586,18269.000000,6268.000000
904.739192,0.468752,19684.000000,6689.000000
909.949268,0.470086,21675.000000,7343.000000
913.851816,0.471681,23482.000000,7926.000000
917.750071,0.476666,25749.000000,8592.000000
921.644031,0.476282,28448.000000,9501.000000
925.533698,0.482819,31685.000000,10424.000000
929.419072,0.492193,35299.000000,11365.000000
933.300152,0.487032,38958.000000,12693.000000
937.176938,0.488166,42411.000000,13782.000000
941.049430,0.490752,45503.000000,14699.000000
944.917629,0.489641,48422.000000,15682.000000
950.068549,0.498085,52118.000000,16554.000000
953.926729,0.498183,54797.000000,17401.000000
957.780616,0.507213,57646.000000,17929.000000
961.630209,0.511858,60453.000000,18602.000000
965.475508,0.513777,63306.000000,19394.000000
969.316514,0.512945,66143.000000,20302.000000
973.153226,0.510888,68846.000000,21232.000000
976.985644,0.513617,71365.000000,21871.000000
980.813769,0.509900,73772.000000,22803.000000
984.637600,0.506249,75891.000000,23656.000000
989.729363,0.504808,78252.000000,24473.000000
993.543176,0.500302,79748.000000,25201.000000
997.352695,0.495857,80903.000000,25829.000000
1001.157920,0.491194,81951.000000,26446.000000
1004.958852,0.485389,82676.000000,27039.000000
1008.755490,0.482505,83280.000000,27418.000000
1012.547834,0.477484,83764.000000,27898.000000
1016.335885,0.471550,84043.000000,28376.000000
1020.119642,0.468109,84173.000000,28646.000000
1023.899105,0.466773,84269.000000,28767.000000
1028.931711,0.458742,84249.000000,29297.000000
1032.701156,0.455443,84151.000000,29486.000000
1036.466307,0.454692,83920.000000,29456.000000
1040.227165,0.450043,83703.000000,29696.000000
1043.983729,0.448092,83454.000000,29741.000000
1047.735999,0.447031,83200.000000,29723.000000
1051.483976,0.441917,82984.000000,29997.000000
1055.227659,0.441082,82891.000000,30021.000000
1058.967048,0.439494,82902.000000,30135.000000
1062.702144,0.440451,82983.000000,30098.000000
1066.432946,0.436763,83085.000000,30392.000000
1071.400670,0.437354,83272.000000,30419.000000
1075.121453,0.435507,83611.000000,30673.000000
1078.837943,0.433883,83910.000000,30898.000000
